s/ ativ;c/ ativ;;media;DesvPad;RMS;max
112;71;;;;;
90;0;;;;;
0;0;;;;;
277;13;;;;;
7;0;;;;;
0;309;;;;;
48;0;;;;;
0;0;;;;;
300;111;;;;;
0;0;;;;;
0;260;;;;;
135;0;;;;;
0;0;;;;;
305;19;;;;;
0;0;;;;;
0;321;;;;;
74;0;;;;;
0;0;;;;;
275;65;;;;;
0;0;;;;;
0;253;;;;;
144;0;;;;;
0;0;;;;;
291;51;;;;;
0;0;;;;;
0;304;;;;;
47;21;;;;;
0;0;;;;;
257;53;;;;;
0;0;;;;;
0;218;;;;;
45;0;;;;;
0;0;;;;;
225;82;;;;;
0;0;;;;;
0;184;;;;;
104;0;;;;;
0;0;;;;;
236;9;;;;;
16;0;;;;;
0;290;;;;;
19;0;;;;;
0;205;;;;;
421;12;;;;;
0;260;;;;;
0;0;;;;;
69;0;;;;;
0;110;;;;;
275;0;;;;;
133;305;;;;;
0;132;;;;;
133;0;;;;;
39;0;;;;;
0;0;;;;;
113;0;;;;;
0;141;;;;;
311;0;;;;;
0;240;;;;;
0;0;;;;;
75;0;;;;;
0;107;;;;;
327;0;;;;;
26;0;;;;;
0;77;;;;;
29;0;;;;;
0;134;;;;;
246;0;;;;;
0;0;;;;;
0;0;;;;;
142;0;;;;;
0;191;;;;;
305;0;;;;;
19;0;;;;;
0;38;;;;;
59;0;;;;;
0;85;;;;;
291;0;;;;;
0;305;;;;;
0;0;;;;;
80;0;;;;;
0;150;;;;;
228;0;;;;;
0;0;;;;;
0;0;;;;;
37;0;;;;;
0;106;;;;;
273;0;;;;;
17;0;;;;;
0;53;;;;;
16;0;;;;;
0;157;;;;;
176;0;;;;;
0;0;;;;;
0;0;;;;;
92;0;;;;;
0;240;;;;;
41;0;;;;;
0;0;;;;;
251;39;;;;;
3;0;;;;;
0;289;;;;;
34;0;;;;;
0;0;;;;;
233;1;;;;;
0;0;;;;;
0;278;;;;;
98;15;;;;;
0;0;;;;;
197;56;;;;;
0;0;;;;;
0;214;;;;;
0;0;;;;;
0;0;;;;;
130;128;;;;;
0;0;;;;;
0;276;;;;;
63;0;;;;;
0;0;;;;;
229;16;;;;;
16;0;;;;;
0;348;;;;;
16;0;;;;;
0;0;;;;;
189;47;;;;;
0;0;;;;;
0;234;;;;;
22;7;;;;;
0;247;;;;;
107;0;;;;;
0;0;;;;;
0;79;;;;;
0;0;;;;;
0;0;;;;;
104;55;;;;;
0;0;;;;;
268;163;;;;;
0;0;;;;;
0;0;;;;;
34;0;;;;;
0;0;;;;;
331;240;;;;;
0;0;;;;;
0;0;;;;;
59;49;;;;;
0;0;;;;;
225;172;;;;;
0;0;;;;;
21;0;;;;;
0;0;;;;;
197;0;;;;;
0;267;;;;;
0;21;;;;;
