\x13j
1042
1863
1526
1166
821
575
451
467
597
786
1005
1229
1438
1614
1744
1806
1823
1823
1842
1882
1951
2079
2258
2501
2788
3111
2000
1947
1889
1814
1733
1647
1574
1518
1503
1528
1593
1648
1697
1727
1717
1689
1665
1654
1664
1699
1743
1813
1840
1159
1169
1233
1333
1467
1615
1726
1824
1899
1974
2069
2186
2306
2418
2512
2574
2600
2597
2577
2541
2497
2460
2416
2624
2663
2685
2688
2671
2639
2578
2512
2454
2400
2347
2287
2220
2149
2073
1984
1890
1755
1564
1313
1040
746
483
291
2497
2663
2767
2814
2805
2743
2640
2494
2330
2151
1968
1795
1647
1514
1414
1341
1289
1265
1265
1296
1354
1444
1553
1792
1815
1869
1936
2011
2096
2169
2235
2278
2293
2288
2272
2243
2187
2059
1845
1551
1178
781
401
105
0
0
105
406
809
2320
2403
2426
2418
2403
2394
2394
2407
2382
2371
2351
2311
2254
2174
2077
1958
1834
1711
1599
1507
1451
1421
1424
1454
1133
944
813
752
770
872
1071
1360
1731
2128
2506
2842
3122
3286
3281
3111
2843
2522
2191
1872
1616
1442
1374
1401
542
879
1278
1723
2183
2643
3109
3622
4075
4095
4095
4071
3759
3318
2873
2447
2000
1558
1134
784
546
419
431
566
1941
1891
1885
1909
1962
2016
2073
2115
2138
2130
2097
2031
1955
1880
1835
1825
1859
1917
1981
2022
1998
1889
1699
1434
506
616
848
1185
1577
1947
2257
2470
2583
2608
2576
2521
2491
2486
2530
2606
2672
2719
2715
2672
2593
2480
2359
3167
3221
3212
3122
2960
2736
2448
2128
1776
1437
1121
827
577
393
277
197
235
341
538
767
986
1181
1314
1407
1474
1545
1561
1301
1085
903
800
776
830
935
1089
1257
1424
1591
1744
1873
1985
2064
2077
2010
1890
1726
1551
1403
1280
1302
2754
2698
2558
2373
2131
1857
1597
1312
1097
955
880
881
941
1038
1151
1264
1382
1518
1661
1769
1833
1851
1823
1775
3653
3408
3120
2807
2497
2190
1879
1589
1295
1008
738
482
258
92
23
75
246
555
958
1411
1865
2256
2544
2721
2751
2603
2390
2618
2829
3011
3152
3213
3186
3056
2863
2615
2313
1968
1579
1178
753
332
0
0
0
0
0
0
67
601
1342
2158
2962
3975
1640
1333
1059
791
561
383
277
287
402
605
858
1168
1497
1801
2015
2117
2121
2013
1850
1680
1571
1533
1599
1749
1949
1979
1933
1836
1664
1434
1207
1037
974
1055
1230
1473
1749
1995
2181
2273
2262
2160
1967
1657
1254
794
343
0
0
0
1008
846
752
762
878
1097
1358
1619
1841
1988
2040
2030
1969
1889
1806
1698
1568
1415
1287
1217
1259
1424
1705
2064
1040
1103
1227
1422
1675
1949
2235
2516
2778
3010
3231
3426
3597
3694
3669
3534
3328
3071
2817
2559
2307
2054
1813
2662
2576
2490
2409
2320
2224
2126
1997
1836
1634
1402
1168
955
785
695
699
830
1086
1424
1815
2195
2523
2778
2941
3024
