,0
148,1786.8235294117646
149,1807.7058823529412
150,1829.4117647058824
151,1850.1176470588234
152,1868.0588235294117
153,1881.3529411764705
154,1889.2941176470588
155,1892.0
156,1891.0588235294117
157,1887.5882352941176
158,1882.3529411764705
159,1887.5294117647059
160,1889.2941176470588
161,1888.0588235294117
162,1885.0
163,1881.5882352941176
164,1878.7058823529412
165,1865.1764705882354
166,1848.9411764705883
167,1832.0588235294117
168,1816.4705882352941
169,1803.1764705882354
170,1793.764705882353
171,1789.5882352941176
172,1790.0588235294117
173,1791.1176470588234
174,1795.1764705882354
175,1801.0
176,1807.4117647058824
177,1813.6470588235295
178,1817.1764705882354
179,1817.8823529411766
180,1814.4117647058824
181,1805.235294117647
182,1801.7058823529412
183,1797.2941176470588
184,1792.0
185,1786.2941176470588
186,1779.8235294117646
187,1772.2941176470588
188,1764.6470588235295
189,1758.1176470588234
190,1750.6470588235295
191,1740.235294117647
192,1729.6470588235295
193,1719.0588235294117
194,1709.0588235294117
195,1702.9411764705883
196,1701.764705882353
197,1705.2941176470588
198,1714.5294117647059
199,1728.5882352941176
200,1746.5882352941176
201,1765.8823529411766
202,1785.4705882352941
203,1805.0588235294117
204,1825.4705882352941
205,1845.6470588235295
206,1864.2941176470588
207,1884.4117647058824
208,1905.0588235294117
209,1922.5294117647059
210,1935.0
211,1942.1764705882354
212,1948.8235294117646
213,1951.764705882353
214,1950.764705882353
215,1944.8823529411766
216,1935.7058823529412
217,1923.4705882352941
218,1910.9411764705883
219,1897.5882352941176
220,1885.9411764705883
221,1874.7058823529412
222,1862.8823529411766
223,1851.4117647058824
224,1842.0
225,1834.1176470588234
226,1829.5882352941176
227,1830.4117647058824
228,1835.1176470588234
229,1836.7058823529412
230,1838.1176470588234
231,1840.0
232,1843.4705882352941
233,1848.1764705882354
234,1853.5882352941176
235,1840.0588235294117
236,1826.0588235294117
237,1810.5882352941176
238,1794.0588235294117
239,1776.0
240,1755.5882352941176
241,1734.235294117647
242,1714.7058823529412
243,1698.3529411764705
244,1684.1764705882354
245,1673.8823529411766
246,1667.5882352941176
247,1663.7058823529412
248,1661.3529411764705
249,1657.9411764705883
250,1653.5882352941176
251,1648.1764705882354
252,1659.8823529411766
253,1670.1764705882354
254,1680.4705882352941
255,1690.764705882353
256,1701.4117647058824
257,1713.5882352941176
258,1727.9411764705883
259,1737.1764705882354
260,1740.764705882353
261,1740.5882352941176
262,1741.5294117647059
263,1740.0588235294117
264,1736.2941176470588
265,1735.4705882352941
266,1741.0
267,1751.5882352941176
268,1768.4705882352941
269,1789.4705882352941
270,1814.8235294117646
271,1841.4117647058824
272,1867.0588235294117
273,1891.6470588235295
274,1913.6470588235295
275,1930.5294117647059
276,1946.2941176470588
277,1959.4117647058824
278,1970.235294117647
279,1975.3529411764705
280,1980.4117647058824
281,1986.8823529411766
282,1998.4705882352941
283,2003.8235294117646
284,2003.764705882353
285,1996.8823529411766
286,1985.5294117647059
287,1968.0
288,1944.4117647058824
289,1917.0588235294117
290,1888.1176470588234
291,1860.8235294117646
292,1836.1176470588234
293,1816.4117647058824
294,1803.5882352941176
295,1797.5294117647059
296,1795.3529411764705
297,1795.0
298,1795.8235294117646
299,1788.5882352941176
300,1782.0588235294117
301,1775.4117647058824
302,1769.235294117647
303,1763.2941176470588
304,1757.8823529411766
305,1739.0588235294117
306,1726.3529411764705
307,1719.0588235294117
308,1715.5882352941176
309,1716.6470588235295
310,1723.764705882353
311,1735.3529411764705
312,1750.3529411764705
313,1768.7058823529412
314,1788.6470588235295
315,1808.0
316,1825.1764705882354
317,1840.4705882352941
318,1854.3529411764705
319,1867.4705882352941
320,1880.3529411764705
321,1894.8235294117646
322,1924.7058823529412
323,1949.4117647058824
324,1966.9411764705883
325,1974.3529411764705
326,1971.7058823529412
327,1957.2941176470588
328,1938.3529411764705
329,1910.235294117647
330,1875.7058823529412
331,1838.8235294117646
332,1802.4705882352941
333,1770.235294117647
334,1742.2941176470588
335,1719.235294117647
336,1701.4117647058824
337,1689.1176470588234
338,1682.7058823529412
339,1681.0
340,1682.0
341,1685.6470588235295
342,1692.0
343,1699.5294117647059
344,1707.1176470588234
345,1711.3529411764705
346,1718.9411764705883
347,1729.8235294117646
348,1743.5294117647059
349,1760.1176470588234
350,1777.235294117647
351,1794.5294117647059
352,1817.9411764705883
353,1834.764705882353
354,1843.4705882352941
355,1842.1764705882354
356,1832.9411764705883
357,1819.764705882353
358,1805.0588235294117
359,1792.235294117647
360,1782.8823529411766
361,1779.1764705882354
362,1779.8235294117646
363,1783.5294117647059
364,1788.9411764705883
365,1794.6470588235295
366,1798.764705882353
367,1799.5882352941176
368,1794.764705882353
369,1775.4705882352941
370,1752.3529411764705
371,1725.4705882352941
372,1697.7058823529412
373,1674.0
374,1657.8235294117646
375,1659.7058823529412
376,1659.235294117647
377,1655.1176470588234
378,1645.2941176470588
379,1628.1176470588234
380,1604.764705882353
381,1578.1764705882354
382,1549.5882352941176
383,1522.3529411764705
384,1500.7058823529412
385,1489.5294117647059
386,1491.235294117647
387,1506.0
388,1533.6470588235295
389,1571.0
390,1608.1176470588234
391,1637.764705882353
392,1648.0
393,1658.6470588235295
394,1671.5294117647059
395,1687.9411764705883
396,1709.4117647058824
397,1735.4117647058824
398,1775.235294117647
399,1815.0588235294117
400,1854.0
401,1888.6470588235295
402,1916.8823529411766
403,1938.1764705882354
404,1953.0
405,1962.4117647058824
406,1966.8823529411766
407,1968.9411764705883
408,1971.2941176470588
409,1974.4117647058824
410,1978.764705882353
411,1983.4705882352941
412,1989.1176470588234
413,1996.0
414,2002.8235294117646
415,1997.5294117647059
416,1992.0
417,1984.235294117647
418,1974.764705882353
419,1963.764705882353
420,1952.7058823529412
421,1949.235294117647
422,1942.8235294117646
423,1933.8823529411766
424,1924.2941176470588
425,1915.7058823529412
426,1908.3529411764705
427,1901.8823529411766
428,1897.1176470588234
429,1892.3529411764705
430,1886.5294117647059
431,1879.3529411764705
432,1871.764705882353
433,1865.4117647058824
434,1861.1176470588234
435,1858.6470588235295
436,1858.9411764705883
437,1859.6470588235295
438,1852.8235294117646
439,1845.4705882352941
440,1837.4117647058824
441,1829.764705882353
442,1821.4117647058824
443,1810.0
444,1798.5882352941176
445,1811.1764705882354
446,1821.5294117647059
447,1829.6470588235295
448,1835.7058823529412
449,1838.235294117647
450,1835.8235294117646
451,1829.0
452,1820.1764705882354
453,1809.5294117647059
454,1799.5882352941176
455,1791.8235294117646
456,1788.1176470588234
457,1787.6470588235295
458,1789.1176470588234
459,1793.1764705882354
460,1802.6470588235295
461,1814.6470588235295
462,1804.235294117647
463,1798.1764705882354
464,1796.5294117647059
465,1799.5294117647059
466,1807.4117647058824
