Sj
2195
2137
2066
2000
1982
2028
2128
2243
4095
4095
4095
3957
3327
2701
2097
1488
969
630
487
589
861
1225
1579
1872
2110
2288
2407
2483
2533
2576
2613
2668
736
967
1400
1968
2593
3286
4095
4095
4095
4095
3873
3475
3142
2900
2748
2671
2636
2634
2633
2631
2633
2638
2662
2707
2429
2515
2674
2850
3034
3248
3461
3615
3618
3499
3337
3134
2914
2679
2438
2220
2032
1904
1856
1893
2001
2271
2610
3327
3502
3646
3685
3583
3392
3165
2963
2811
2699
2654
2704
2827
2991
3216
3490
3796
4095
4095
4095
4095
3953
3676
3724
3708
3596
3378
3184
2994
2854
2739
2625
2645
2695
2777
2830
2815
2743
2661
2602
2576
2598
2689
2864
3118
3391
3620
3504
3274
3024
2816
2662
2577
2596
2718
2930
3264
3717
4095
4095
4095
4095
4095
4095
3985
3870
3792
3717
3615
3442
1215
1163
1175
1261
1425
1634
1886
2179
2487
2833
3223
3665
4080
4095
4095
4095
4095
4095
4095
3979
3558
3078
2597
2789
2842
2849
2842
2870
2975
3184
3508
3931
4095
4095
4095
3882
3465
3031
2673
2350
2080
1911
1860
1906
2017
2151
2299
1339
1585
2000
2558
3333
4095
4095
4095
4095
4095
4095
4095
4080
3664
3205
2803
2450
2147
1904
1744
1634
1551
1457
784
464
192
0
0
151
587
1231
1959
2685
3438
4095
4095
4095
4095
4095
3955
3664
3414
3230
3090
2973
2880
2806
2725
1976
1925
1847
1804
1808
1862
1938
2019
2079
2082
2033
1952
1873
1808
1799
1825
1905
2032
2207
2386
2544
2644
2640
2467
635
875
1217
1581
1885
2113
2243
2293
2289
2254
2205
2145
2128
2128
2126
2102
2064
1998
1890
1730
1460
1039
483
1526
1340
1162
1007
886
796
686
537
330
97
0
0
0
0
268
733
1309
1889
2384
2752
2971
3058
3013
2886
2723
2541
2375
2228
942
913
955
1066
1219
1410
1607
1784
1915
1997
2027
2004
1965
1902
1802
1648
1419
1138
826
560
338
222
179
246
403
1215
1098
1006
965
960
960
976
1022
1116
1247
1367
1474
1574
1655
1707
1686
1595
1431
1222
990
768
599
491
442
491
485
630
846
1106
1381
1646
1853
1987
2031
1985
1874
1744
1616
1528
1493
1531
1638
1777
1968
2213
2439
2608
2659
2614
1138
1190
1255
1315
1372
1424
1445
1443
1424
1386
1323
1260
1200
1169
1183
1232
1306
1408
1546
1681
1826
1952
2064
2109
2354
2126
1923
1758
1606
1445
1283
1108
924
734
543
353
200
109
112
237
464
777
1183
1591
2015
2368
2500
2530
2443
1648
1391
1159
973
848
811
885
1067
1315
1604
1878
2096
2194
2176
2042
1851
1632
1408
1232
1143
1155
1266
1454
1653
578
335
243
359
646
1114
1692
2302
2874
3415
3833
3932
3666
3185
2704
2250
1840
1550
1407
1421
1555
1756
1939
2192
1829
1842
1808
1749
1706
1711
1763
1840
1970
2152
2354
2575
2747
2871
2924
2896
2816
2678
2522
2357
2183
2013
1872
2369
2331
2231
2055
1793
1456
1104
769
518
363
368
525
784
1117
1445
1744
1997
2192
2304
2353
2357
2327
2304
2287
2281
1599
1629
1616
1589
1573
1572
1584
1616
1685
1769
1870
1963
2011
2015
1963
1881
1794
1730
1707
1726
1802
1943
2139
491
458
554
753
1030
1326
1625
1907
2162
2355
2496
2597
2676
2779
2918
3097
3244
3321
3330
3197
3011
2785
2512
2239
1120
1143
1291
1587
2000
2435
2814
3081
3208
3233
3198
3088
2928
2749
2572
2400
2289
2237
2224
2256
2330
2435
2543
2612
1610
1670
1687
1628
1491
1330
1170
1040
969
975
1047
1139
1259
